Draw,"Atlanta, GA","Chicago, IL","Dallas-Ft. Worth, TX","Houston, TX","Los Angeles, CA","Miami-Ft. Lauderdale, FL","New York, NY","Philadelphia, PA",Puerto Rico
124,144031.96240435977,-299223.50790071615,146020.20712637098,-351658.14971564955,759834.3119994467,400236.6635566357,1929281.0939499992,-919046.7459808802,615942.2735324947
125,-51721.06900023925,-1632367.1916059654,68218.44270916539,-917604.0130414272,794368.4055074616,415845.4444569575,759371.6919179456,-1026840.386473367,387232.35299960687
126,-184984.24445435556,-562058.9894823546,-86464.05503501673,-703837.0696770228,895872.1669865756,70702.60016877973,2148877.197790175,-997718.3606267073,290808.3489708819
127,-60625.662868164305,562631.184613386,-33858.23606502847,-734593.7647328909,1067142.710515568,-11023.041183525347,-1135255.1382552227,-981701.0744990845,398324.53983683116
128,228921.10412401566,577809.6266758154,-203719.5090094189,-466476.8848570456,555703.9786657572,251454.65970798256,-1529296.9862851468,-197844.49502317316,730512.8127781061
129,333013.99365330953,503934.8180998841,-114819.45448686648,-332241.674125577,761276.6743594678,182641.3922566712,-53530.96929673245,-495434.5493091394,83029.90094233537
130,-81837.26850608748,-1844161.639276266,-181645.75960251864,36057.67522179044,807644.07099884,329023.1529717444,1697139.233135344,-812574.791407702,733497.1355110145
131,368876.7491689752,-755546.4790587248,44592.46213513194,-934039.3198915357,1179046.8537033028,678297.4469858166,-32986.159305896144,-1035934.6857279835,97681.87776650232
132,-378940.37137986335,490943.54271830793,1130.3019307339564,-458957.5573553913,1438437.2887502802,758032.2855100667,1584207.3667310346,-525567.3239568641,190146.14022758184
133,-558217.6618561442,-1247484.7330971197,598433.3010983595,-745204.0896297202,364194.6893816979,1038940.7279067785,-1606152.9885444855,-111798.8497388697,93605.93100737571
134,-559783.3459024715,-1546726.5526597346,289385.59932266606,-160599.39624405047,1354310.128257203,-114073.9325850003,-1359607.864628293,-485014.1132180814,186362.66652600467
135,88056.8236420094,-899067.9622600666,-9424.99139494286,-466591.4324345442,1168051.5607945397,213723.43839554768,-163352.64748977032,-443894.9266918377,448766.1249334519
