,Spend,Traffic,Transactions
count,612.0,612.0,612.0
mean,81931.37,561741.22,261255.85
std,152561.41,556416.26,260845.96
min,-6000.0,41259.0,21354.0
25%,0.0,245657.25,117130.5
50%,28000.0,355802.0,163996.0
75%,96250.0,681396.5,324959.0
max,1825000.0,3759759.0,1796648.0
