,Spend,Traffic,Transactions,Store_Count,Total_Selling_SqFt,Avg_Selling_SqFt,DMA_Population,TradeAreaPopulation,Year,Month_Number,Quarter,Holiday_Season,Spend_Lag_1,Spend_Lag_2,Spend_Lag_3,Spend_Lag_6,Rolling_Spend_3,Rolling_Spend_6,Rolling_Spend_12,Cumulative_Spend,Spend_pct_change,Log_Spend,Spend_Index,High_Spend,Traffic_Lag_1,Traffic_Lag_12,Rolling_Traffic_3,Traffic_pct_change,Traffic_per_Store,Transactions_per_Store,Traffic_per_1000SqFt,Spend_per_Store,Spend_per_1000SqFt
count,612.0,612.0,612.0,612.0,612.0,612.0,612.0,612.0,612.0,612.0,612.0,612.0,578.0,544.0,510.0,408.0,612.0,612.0,612.0,612.0,461.0,612.0,612.0,612.0,578.0,204.0,612.0,578.0,612.0,612.0,612.0,612.0,612.0
mean,81931.37,561741.22,261255.85,23.62,668611.32,29166.92,5317490.62,17111233.26,2025.39,5.83,2.28,0.11,80534.6,80433.82,82272.55,83803.92,76964.32,73111.22,63628.02,677075.16,inf,7.67,1.0,0.27,562700.07,513086.41,555407.14,0.05,22823.5,10610.2,818.88,2755.53,97.54
std,152561.41,556416.26,260845.96,18.93,571432.4,3408.51,4402120.47,16448278.37,0.49,3.13,1.04,0.31,150419.27,150172.41,153247.35,147749.81,121958.06,106809.39,84114.43,1084575.87,,5.11,1.15,0.45,558735.04,516587.65,541859.27,0.26,7844.67,3369.99,317.33,3370.26,118.89
min,-6000.0,41259.0,21354.0,5.0,161480.0,22463.09,1105750.0,1404939.0,2025.0,1.0,1.0,0.0,-6000.0,-6000.0,-6000.0,-6000.0,0.0,0.0,0.0,0.0,-24.0,0.0,-0.05,0.0,41259.0,50110.0,45564.33,-0.5,8251.8,4270.8,255.51,-230.77,-6.88
25%,0.0,245657.25,117130.5,12.0,306280.0,27026.5,2489549.0,4927880.0,2025.0,3.0,1.0,0.0,0.0,1000.0,3000.0,13750.0,8625.0,15250.0,17000.0,115000.0,-0.57,0.0,0.0,0.0,245381.75,215010.5,243827.67,-0.17,17324.38,8148.13,632.36,0.0,0.0
50%,28000.0,355802.0,163996.0,16.5,473900.5,28423.03,4212862.0,8558645.5,2025.0,5.5,2.0,0.0,29000.0,31000.0,32000.0,39000.0,34166.67,33983.33,33000.0,307000.0,0.28,10.24,0.72,0.0,355802.0,332605.0,356811.17,0.02,21686.12,10137.59,759.8,1800.0,65.57
75%,96250.0,681396.5,324959.0,30.0,872685.0,32149.21,6834716.0,21378556.0,2026.0,8.0,3.0,0.0,94000.0,93250.0,92750.0,94000.0,91083.33,82333.33,71187.5,728000.0,1.3,11.47,1.55,1.0,682731.5,627605.0,670212.17,0.24,27067.6,12345.51,927.24,4091.99,145.91
max,1825000.0,3759759.0,1796648.0,99.0,3122485.0,34948.9,22165424.0,66109628.0,2026.0,12.0,4.0,1.0,1825000.0,1825000.0,1825000.0,1825000.0,1019666.67,886833.33,628833.33,9301000.0,inf,14.42,5.65,1.0,3759759.0,3247183.0,3266548.0,0.88,59633.17,24727.67,2758.97,19400.0,731.0
