,Spend,Traffic,Transactions,Store_Count,Total_Selling_SqFt,Traffic_per_Store,Spend_per_Store
count,612.0,612.0,612.0,612.0,612.0,612.0,612.0
mean,81931.37,561741.22,261255.85,23.62,668611.32,22823.5,2755.53
std,152561.41,556416.26,260845.96,18.93,571432.4,7844.67,3370.26
min,-6000.0,41259.0,21354.0,5.0,161480.0,8251.8,-230.77
25%,0.0,245657.25,117130.5,12.0,306280.0,17324.38,0.0
50%,28000.0,355802.0,163996.0,16.5,473900.5,21686.12,1800.0
75%,96250.0,681396.5,324959.0,30.0,872685.0,27067.6,4091.99
max,1825000.0,3759759.0,1796648.0,99.0,3122485.0,59633.17,19400.0
