,Traffic,Traffic_per_Store,Traffic_per_1000SqFt
count,612.0,612.0,612.0
mean,561741.22,22823.5,818.88
std,556416.26,7844.67,317.33
min,41259.0,8251.8,255.51
25%,245657.25,17324.38,632.36
50%,355802.0,21686.12,759.8
75%,681396.5,27067.6,927.24
max,3759759.0,59633.17,2758.97
