,Skewness,Kurtosis
Spend,4.805970526013528,37.03487683300226
Traffic,2.8004052242267545,9.832638340582527
Transactions,2.938079493586422,10.825548478423089
Store_Count,2.161107796353503,5.450965910536151
Total_Selling_SqFt,2.5345419803524285,7.739416708944956
Avg_Selling_SqFt,0.06280615297118206,-0.8252074511797081
DMA_Population,2.2809996751478967,5.658597012655369
TradeAreaPopulation,1.3618993374734274,1.0453376661680847
Year,0.4569630767852282,-1.7970682471046824
Month_Number,0.37243040267628374,-0.8497414835028505
Quarter,0.30713416324602644,-1.0874243113440827
Holiday_Season,2.4809586598888336,4.168768674796089
Spend_Lag_1,5.090116863876486,41.12135148255195
Spend_Lag_2,5.280339024476438,43.67258573859635
Spend_Lag_3,5.257211802257954,42.66312329512393
Spend_Lag_6,5.665766583819892,51.38477679633351
Rolling_Spend_3,3.4388781620127746,16.22249189035745
Rolling_Spend_6,3.3463821177942057,15.42252459786068
Rolling_Spend_12,3.206951515174869,13.806989234759513
Cumulative_Spend,3.8196329376623814,19.94869465075784
Spend_pct_change,,
Log_Spend,-0.7399132789361763,-1.2613165824446535
Spend_Index,1.6883850605158672,3.325234460854453
High_Spend,1.0222874659559824,-0.9580699985925989
Traffic_Lag_1,2.8117774152055084,9.911592458563566
Traffic_Lag_12,3.0033189017124187,11.315772621764287
Rolling_Traffic_3,2.7472682393972656,9.252781723926935
Traffic_pct_change,0.4371028035741685,-0.5050987292063773
Traffic_per_Store,1.1417489271601633,2.194556959939788
Transactions_per_Store,1.0065262375271016,1.6543855752648065
Traffic_per_1000SqFt,2.2336551180208866,8.526786817120465
Spend_per_Store,1.9104079259468392,4.56749177476803
Spend_per_1000SqFt,1.929576264033138,4.7817518727144375
