,Store_Count,Total_Selling_SqFt,Avg_Selling_SqFt,DMA_Population,TradeAreaPopulation
count,612.0,612.0,612.0,612.0,612.0
mean,23.62,668611.32,29166.92,5317490.62,17111233.26
std,18.93,571432.4,3408.51,4402120.47,16448278.37
min,5.0,161480.0,22463.09,1105750.0,1404939.0
25%,12.0,306280.0,27026.5,2489549.0,4927880.0
50%,16.5,473900.5,28423.03,4212862.0,8558645.5
75%,30.0,872685.0,32149.21,6834716.0,21378556.0
max,99.0,3122485.0,34948.9,22165424.0,66109628.0
