,Spend,Traffic,Transactions,Store_Count,Total_Selling_SqFt,Avg_Selling_SqFt,DMA_Population,TradeAreaPopulation,Year,Month_Number,Quarter,Holiday_Season,Spend_Lag_1,Spend_Lag_2,Spend_Lag_3,Spend_Lag_6,Rolling_Spend_3,Rolling_Spend_6,Rolling_Spend_12,Cumulative_Spend,Spend_pct_change,Log_Spend,Spend_Index,High_Spend,Traffic_Lag_1,Traffic_Lag_12,Rolling_Traffic_3,Traffic_pct_change,Traffic_per_Store,Transactions_per_Store,Traffic_per_1000SqFt,Spend_per_Store,Spend_per_1000SqFt
count,648.0,450.0,450.0,540.0,540.0,540.0,540.0,540.0,648.0,648.0,648.0,648.0,595.0,560.0,525.0,420.0,630.0,630.0,630.0,630.0,461.0,648.0,612.0,648.0,450.0,180.0,510.0,420.0,450.0,450.0,450.0,540.0,540.0
mean,77379.63,825789.31,397355.98,25.23,710154.13,28827.9,5724272.1,18663360.97,2025.33,5.83,2.28,0.11,78233.61,78135.71,79921.9,81409.52,78702.12,76797.22,68438.85,666695.24,inf,7.24,1.0,0.26,825789.31,767867.63,802943.29,0.03,30452.34,14812.61,1110.89,2814.34,101.13
std,149441.25,837413.8,398252.22,19.54,594835.35,3415.15,4530293.17,16900232.44,0.47,3.13,1.04,0.31,148858.09,148614.1,151659.82,146288.05,119742.26,105982.8,83579.69,1057668.57,,5.26,1.15,0.44,837413.8,771467.04,797368.2,0.29,11993.12,5151.91,502.33,3329.79,119.75
min,-6000.0,44598.0,40509.0,5.0,161480.0,22463.09,1105750.0,1404939.0,2025.0,1.0,1.0,0.0,-6000.0,-6000.0,-6000.0,-6000.0,0.0,0.0,0.0,0.0,-24.0,0.0,-0.05,0.0,44598.0,59957.0,44598.0,-0.47,8919.6,6165.9,276.18,-230.77,-6.88
25%,0.0,320517.5,159690.0,12.0,306280.0,26924.96,3060911.0,5758887.0,2025.0,3.0,1.0,0.0,0.0,0.0,1000.0,11750.0,13000.0,18333.33,19314.29,129000.0,-0.62,0.0,0.0,0.0,320517.5,294171.25,318976.33,-0.22,22794.48,11444.76,827.6,0.0,0.0
50%,23000.0,547381.5,259158.5,19.5,505288.0,28075.33,4836817.0,13208160.0,2025.0,5.5,2.0,0.0,27000.0,28500.0,30000.0,35500.0,36583.33,38000.0,36333.33,312500.0,0.28,10.04,0.72,0.0,547381.5,489298.0,529823.5,0.03,28207.92,13647.7,1001.39,1952.38,69.8
75%,91250.0,978721.75,485846.5,33.0,916979.0,32149.21,7403493.0,31085155.0,2026.0,8.0,3.0,0.0,92000.0,92000.0,91000.0,92000.0,92333.33,89291.67,83714.02,680750.0,1.3,11.42,1.55,1.0,978721.75,917837.75,956057.5,0.28,35925.27,17180.19,1266.55,4209.44,150.45
max,1825000.0,5546927.0,2675107.0,99.0,3122485.0,34948.9,22165424.0,66109628.0,2026.0,12.0,4.0,1.0,1825000.0,1825000.0,1825000.0,1825000.0,945333.33,867500.0,625500.0,9301000.0,inf,14.42,5.65,1.0,5546927.0,4802198.0,5075047.0,0.7,102928.37,44754.97,4762.06,19166.67,731.0
