Lag,Correlation
-12,0.07583852191949417
-11,-0.05515064651420249
-10,-0.19820751155877203
-9,0.032323126794599824
-8,0.014445554986346346
-7,0.1584133124451655
-6,-0.3600871668627315
-5,-0.09145411283252132
-4,0.3672289551853716
-3,-0.033070076596705994
-2,-0.3184517078821371
-1,0.19775574911476135
0,0.5886723413742369
1,0.1216444482047475
2,-0.3598121695190275
3,-0.3785017659922239
4,0.08668780812926502
5,0.3790829484483495
6,-0.13722121619341598
7,-0.1451244771055558
8,-0.017675719916695896
9,0.01426246243617337
10,-0.05530266409041929
11,-0.03109943207956593
12,0.02857851706283797
