,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,Rhat_OK,ESS_Bulk_OK,ESS_Tail_OK,Parameter_OK
intercept,0.0016,0.1034,-0.1593,0.1655,6443.9388,4814.9838,0.9998,0.0013,0.0011,True,True,True,True
trend_beta,0.1412,0.1245,-0.061,0.3375,6985.0238,6022.2874,1.0005,0.0015,0.0011,True,True,True,True
beta[0],0.2976,0.2249,-0.067,0.6525,6194.5311,5536.4673,1.0014,0.0029,0.0021,True,True,True,True
beta[1],0.1761,0.2305,-0.1962,0.5522,6508.9093,5374.6975,1.0004,0.0029,0.002,True,True,True,True
beta[2],0.214,0.2199,-0.1362,0.5604,6891.7513,5923.894,1.0003,0.0027,0.0019,True,True,True,True
beta[3],0.0702,0.2319,-0.2971,0.4467,6733.4147,5633.8281,1.0008,0.0028,0.002,True,True,True,True
beta[4],0.1073,0.2065,-0.2165,0.4431,6455.4909,5866.8766,1.0002,0.0026,0.0018,True,True,True,True
sigma_obs,0.3378,0.0962,0.2184,0.5106,4311.2615,4549.3716,1.001,0.0015,0.0016,True,True,True,True
