,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,Rhat_OK,ESS_Bulk_OK,ESS_Tail_OK,Parameter_OK
intercept,-0.0011,0.1185,-0.1881,0.1864,6186.8917,4776.0292,0.9999,0.0015,0.0013,True,True,True,True
trend_beta,0.0725,0.1251,-0.1293,0.2695,7134.0016,5414.0624,1.0005,0.0015,0.0011,True,True,True,True
beta[0],0.3409,0.2329,-0.0365,0.7019,6169.2502,4910.9142,1.0003,0.003,0.0022,True,True,True,True
beta[1],0.1972,0.2351,-0.1865,0.5727,7395.7755,5832.4122,1.0,0.0027,0.002,True,True,True,True
beta[2],0.1655,0.2401,-0.222,0.5467,7765.8229,5605.354,1.0001,0.0027,0.002,True,True,True,True
beta[3],0.1031,0.2537,-0.2999,0.5116,7137.0422,5575.8166,1.0004,0.003,0.0021,True,True,True,True
beta[4],0.0954,0.2322,-0.2735,0.4667,6982.3815,5138.4624,1.0003,0.0028,0.002,True,True,True,True
sigma_obs,0.3886,0.1086,0.2525,0.5799,4565.3591,4559.1768,1.0001,0.0017,0.0018,True,True,True,True
