,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,Rhat_OK,ESS_Bulk_OK,ESS_Tail_OK,Parameter_OK
intercept,0.0006,0.0792,-0.1207,0.1291,5927.8521,4436.7579,1.0012,0.001,0.0009,True,True,True,True
trend_beta,-0.019,0.1127,-0.2017,0.1597,5107.2851,5404.7477,1.0009,0.0016,0.0012,True,True,True,True
beta[0],0.3257,0.2376,-0.0559,0.7005,4750.4818,4947.5036,1.0006,0.0034,0.0025,True,True,True,True
beta[1],0.2324,0.2147,-0.1087,0.5779,5291.8429,5411.3741,1.0005,0.003,0.0021,True,True,True,True
beta[2],0.3787,0.1725,0.0895,0.634,5172.4907,4753.8327,1.0009,0.0024,0.0019,True,True,True,True
beta[3],0.0661,0.2247,-0.2915,0.427,5534.0393,5252.0756,0.9999,0.003,0.0023,True,True,True,True
beta[4],0.008,0.2264,-0.3377,0.374,4578.2518,5285.4712,1.0011,0.0034,0.0024,True,True,True,True
sigma_obs,0.2593,0.0845,0.1553,0.4105,3079.7971,3912.9498,1.0003,0.0015,0.0018,True,True,True,True
