,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,Rhat_OK,ESS_Bulk_OK,ESS_Tail_OK,Parameter_OK
intercept,0.0002,0.0972,-0.1506,0.1563,7069.8667,4759.9733,1.0008,0.0012,0.001,True,True,True,True
trend_beta,-0.0586,0.0999,-0.2137,0.1029,7692.3106,5237.1247,1.0024,0.0012,0.0009,True,True,True,True
beta[0],0.3124,0.2311,-0.0652,0.6751,8823.0811,5801.9006,1.0009,0.0025,0.0017,True,True,True,True
beta[1],0.1745,0.238,-0.2086,0.5559,8016.2869,6095.5277,1.0004,0.0027,0.0019,True,True,True,True
beta[2],0.2491,0.211,-0.0947,0.5867,8104.6715,5294.7534,1.0001,0.0023,0.0017,True,True,True,True
beta[3],0.1391,0.2406,-0.2428,0.5236,8226.5283,6111.9636,1.0003,0.0027,0.0018,True,True,True,True
beta[4],0.1179,0.2264,-0.2384,0.4825,7943.6034,6195.9155,1.0013,0.0025,0.0018,True,True,True,True
sigma_obs,0.3185,0.0918,0.2063,0.4857,5731.4115,5259.2285,1.001,0.0013,0.0015,True,True,True,True
