,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,Rhat_OK,ESS_Bulk_OK,ESS_Tail_OK,Parameter_OK
intercept,-0.0009,0.0546,-0.085,0.0806,6324.7078,4238.4825,1.0017,0.0007,0.0008,True,True,True,True
trend_beta,0.0234,0.0781,-0.1062,0.141,4040.5525,4198.5089,1.0019,0.0012,0.001,True,True,True,True
beta[0],0.3318,0.1783,0.0476,0.6109,4882.9088,4713.6029,1.0007,0.0026,0.002,True,True,True,True
beta[1],0.3114,0.1574,0.0512,0.5471,4648.9604,4143.03,1.0004,0.0023,0.0018,True,True,True,True
beta[2],0.224,0.1713,-0.0592,0.4821,5644.3397,4470.7005,0.9999,0.0023,0.0018,True,True,True,True
beta[3],0.1757,0.1607,-0.081,0.4307,5612.4182,5352.6534,1.0007,0.0021,0.0017,True,True,True,True
beta[4],-0.0501,0.2098,-0.3663,0.3069,3109.6487,3937.4349,1.0004,0.0038,0.0027,True,True,True,True
sigma_obs,0.1715,0.0628,0.0987,0.2828,2556.6448,3595.8179,1.0013,0.0012,0.0018,True,True,True,True
