,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,Rhat_OK,ESS_Bulk_OK,ESS_Tail_OK,Parameter_OK
intercept,-0.0006,0.0421,-0.0663,0.0666,4994.8101,4303.507,1.0011,0.0006,0.0005,True,True,True,True
trend_beta,0.0171,0.0765,-0.1028,0.1411,3389.4728,3984.4793,1.0009,0.0013,0.001,True,True,True,True
beta[0],0.3282,0.2232,-0.0357,0.6758,3782.3935,4354.4147,0.9999,0.0036,0.0026,True,True,True,True
beta[1],0.2151,0.1993,-0.1003,0.5313,3464.8321,3837.4021,1.0007,0.0034,0.0025,True,True,True,True
beta[2],-0.0323,0.1692,-0.2854,0.2487,4072.3359,4470.0553,1.0008,0.0027,0.0021,True,True,True,True
beta[3],0.349,0.1375,0.1136,0.553,3715.5924,4265.6808,1.0011,0.0023,0.0018,True,True,True,True
beta[4],0.1466,0.1667,-0.1099,0.4163,3531.0742,4058.9823,1.0012,0.0028,0.0021,True,True,True,True
sigma_obs,0.136,0.0513,0.0781,0.2279,2813.0923,3552.9372,1.0009,0.001,0.0014,True,True,True,True
