,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,Rhat_OK,ESS_Bulk_OK,ESS_Tail_OK,Parameter_OK
intercept,0.0002,0.0606,-0.0911,0.0935,6822.3427,4189.9836,1.0025,0.0008,0.0008,True,True,True,True
trend_beta,0.1744,0.0888,0.0301,0.3052,3287.5067,3726.2523,1.0013,0.0016,0.0013,True,True,True,True
beta[0],0.032,0.2333,-0.3252,0.4183,2824.6364,4192.7822,1.0008,0.0044,0.0032,True,True,True,True
beta[1],0.3976,0.1851,0.0922,0.6775,3483.6362,3854.0397,1.0006,0.0032,0.0024,True,True,True,True
beta[2],0.2795,0.1607,0.0168,0.5264,3842.6599,4499.0393,1.0007,0.0026,0.002,True,True,True,True
beta[3],0.1886,0.1583,-0.0731,0.432,5054.3465,4941.6229,1.0009,0.0022,0.0017,True,True,True,True
beta[4],-0.0132,0.177,-0.2805,0.2831,3695.9749,4807.7776,1.0014,0.0029,0.0024,True,True,True,True
sigma_obs,0.1918,0.0703,0.1073,0.3241,1903.1423,3310.3084,1.0029,0.0016,0.0017,True,True,True,True
