Month,"Atlanta, GA","Baltimore, MD","Boston, MA (Manchester, NH)","Buffalo, NY","Charlotte, NC","Chicago, IL","Cincinnati, OH","Cleveland-Akron (Canton), OH","Columbus, OH","Dallas-Ft. Worth, TX","Detroit, MI","El Paso, TX (Las Cruces, NM)","Ft. Myers-Naples, FL","Harlingen-Weslaco-Brownsville-McAllen, TX","Hartford & New Haven, CT","Houston, TX","Las Vegas, NV","Los Angeles, CA","Miami-Ft. Lauderdale, FL","Minneapolis-St. Paul, MN","New York, NY","Oklahoma City, OK","Orlando-Daytona Beach-Melbourne, FL","Philadelphia, PA","Phoenix (Prescott), AZ","Providence, RI-New Bedford, MA",Puerto Rico,"Sacramento-Stockton-Modesto, CA","San Antonio, TX","San Diego, CA","Seattle-Tacoma, WA","Tampa-St. Petersburg (Sarasota), FL","Washington, DC (Hagerstown, MD)"
2025-02-01,472473.0,204980.0,374008.0,50110.0,198513.0,680729.0,105031.0,117024.0,77936.0,625075.0,262387.0,240398.0,162586.0,311106.0,193142.0,801111.0,223298.0,1100942.0,921274.0,183868.0,2103418.0,97935.0,560646.0,527695.0,298847.0,160702.0,961872.0,290692.0,318753.0,208638.0,197676.0,480001.0,325828.0
2025-03-01,720150.0,347799.0,567423.0,70854.0,289386.0,992476.0,166249.0,186335.0,146482.0,980877.0,384928.0,333629.0,227019.0,438017.0,297425.0,1186513.0,345834.0,1575700.0,1211447.0,274695.0,3247183.0,139140.0,676377.0,733416.0,434655.0,203061.0,1262355.0,422143.0,460890.0,281861.0,363373.0,674434.0,567155.0
2025-04-01,501015.0,274050.0,464335.0,63242.0,243780.0,775608.0,132585.0,146650.0,108677.0,702298.0,300978.0,275700.0,180992.0,355042.0,230033.0,861842.0,270928.0,1302004.0,932102.0,210290.0,2547946.0,98932.0,539136.0,620943.0,336678.0,178435.0,1010521.0,319813.0,345257.0,248923.0,309908.0,499211.0,458196.0
2025-05-01,671946.0,337446.0,538603.0,76946.0,268273.0,1038248.0,158907.0,201047.0,133309.0,921441.0,351117.0,331030.0,200314.0,452025.0,292438.0,994680.0,329738.0,1495507.0,1179708.0,256063.0,3165076.0,119230.0,667323.0,707093.0,445624.0,245795.0,1390533.0,390865.0,423550.0,285111.0,366754.0,605905.0,522035.0
2025-06-01,604762.0,309119.0,469729.0,70245.0,217942.0,895826.0,131324.0,169943.0,134650.0,779426.0,331581.0,263657.0,160446.0,320362.0,214514.0,899569.0,240731.0,1147030.0,1046841.0,239353.0,2880350.0,120856.0,502880.0,639860.0,311012.0,189346.0,1103164.0,310034.0,393846.0,247673.0,298073.0,435528.0,482457.0
2025-07-01,683399.0,284809.0,454601.0,56174.0,232219.0,923622.0,158743.0,174421.0,139296.0,860990.0,335908.0,283173.0,180380.0,349005.0,205537.0,889406.0,291910.0,1178756.0,984205.0,254440.0,2936444.0,132278.0,601789.0,635195.0,389663.0,187486.0,1170517.0,349332.0,443976.0,261307.0,300952.0,457173.0,480622.0
2025-08-01,761772.0,415153.0,595756.0,77257.0,280734.0,1346778.0,236042.0,257561.0,214165.0,1122844.0,439530.0,362987.0,192735.0,487890.0,288394.0,1246838.0,287306.0,1562669.0,1387567.0,365190.0,3759759.0,208038.0,829522.0,945981.0,373546.0,298586.0,1428611.0,473540.0,563347.0,303642.0,431889.0,628394.0,706980.0
2025-09-01,574892.0,250071.0,441233.0,44809.0,189473.0,836821.0,150199.0,165142.0,106372.0,721394.0,281841.0,281516.0,167996.0,332545.0,195442.0,846484.0,215574.0,1078670.0,948016.0,262397.0,2778201.0,114553.0,551679.0,649407.0,347801.0,188062.0,1160378.0,318803.0,369943.0,226049.0,315958.0,398840.0,497454.0
