,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,Rhat_OK,ESS_Bulk_OK,ESS_Tail_OK,Parameter_OK
intercept,-0.0002,0.0767,-0.1187,0.1185,5579.3697,4554.054,1.0,0.0011,0.001,True,True,True,True
trend_beta,-0.0416,0.0952,-0.1866,0.1123,4374.499,4627.873,1.0003,0.0014,0.0011,True,True,True,True
beta[0],0.1892,0.2283,-0.1773,0.5472,5826.9763,5553.0455,1.0003,0.003,0.0022,True,True,True,True
beta[1],0.3146,0.2194,-0.0427,0.6625,4466.5589,5363.0532,1.0007,0.0033,0.0023,True,True,True,True
beta[2],0.1012,0.2331,-0.2746,0.4755,4360.5826,4817.341,1.0001,0.0035,0.0025,True,True,True,True
beta[3],0.2839,0.2063,-0.0563,0.5978,5859.1611,4928.7318,1.0004,0.0027,0.002,True,True,True,True
beta[4],0.126,0.221,-0.2234,0.4802,6226.9108,5561.3787,1.0008,0.0028,0.002,True,True,True,True
sigma_obs,0.2486,0.0793,0.1526,0.3877,3504.2648,4041.427,1.0005,0.0014,0.0018,True,True,True,True
