,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,Rhat_OK,ESS_Bulk_OK,ESS_Tail_OK,Parameter_OK
intercept,-0.0006,0.0802,-0.1259,0.1225,6486.8087,4937.4806,1.0003,0.001,0.001,True,True,True,True
trend_beta,0.0652,0.1007,-0.0979,0.221,6425.1095,5676.0658,1.0001,0.0013,0.0011,True,True,True,True
beta[0],0.2793,0.2023,-0.047,0.5964,7118.7771,5562.7945,1.0004,0.0024,0.0018,True,True,True,True
beta[1],0.2305,0.2242,-0.1351,0.5909,5889.166,5083.7141,1.0004,0.0029,0.0021,True,True,True,True
beta[2],0.184,0.2,-0.1374,0.5023,7247.0336,5825.0493,1.0005,0.0023,0.0017,True,True,True,True
beta[3],0.051,0.226,-0.3024,0.4218,6160.7784,5650.6934,1.0002,0.0029,0.0021,True,True,True,True
beta[4],0.2099,0.1784,-0.072,0.4965,6313.8365,5461.8153,1.0,0.0022,0.0017,True,True,True,True
sigma_obs,0.2591,0.0795,0.1624,0.4005,4189.7714,4364.266,1.0005,0.0013,0.0017,True,True,True,True
