,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,Rhat_OK,ESS_Bulk_OK,ESS_Tail_OK,Parameter_OK
intercept,0.0025,0.0667,-0.1001,0.1057,5223.1646,4353.893,0.9997,0.0009,0.001,True,True,True,True
trend_beta,0.0188,0.0943,-0.1337,0.1653,4419.6235,4621.4269,1.0003,0.0014,0.001,True,True,True,True
beta[0],0.4635,0.2354,0.0761,0.8305,4528.3755,4780.3961,1.0008,0.0035,0.0025,True,True,True,True
beta[1],0.0713,0.2235,-0.2797,0.4342,5072.7796,5162.5655,1.0004,0.0031,0.0023,True,True,True,True
beta[2],0.2583,0.2244,-0.0955,0.6151,4164.0609,4763.0122,1.0007,0.0035,0.0025,True,True,True,True
beta[3],0.0043,0.2356,-0.3591,0.3834,4441.441,4874.6847,1.0012,0.0035,0.0026,True,True,True,True
beta[4],0.1895,0.1658,-0.0813,0.4475,5172.4415,4927.1853,1.0005,0.0023,0.0018,True,True,True,True
sigma_obs,0.2117,0.0739,0.1231,0.3459,3279.7672,3756.7649,1.0001,0.0013,0.0016,True,True,True,True
