Spend_Direction,DMA_Count,Mean_Spend_Change,Mean_Spend_Change_Pct,Mean_Incremental_Post_Spend,Mean_Incremental_Traffic,Median_Incremental_Traffic,Mean_Relative_Lift,Positive_Impact_Rate,Mean_Probability_Positive,Mean_Impact_Per_Incremental_Spend_1K
Decreased,1,-3623.376623376622,-0.033269735273074155,-25363.636363636353,463814.892925768,463078.64261577255,0.091935546406339,1.0,0.917875,-18286.60868166111
Increased,8,72964.28571428571,0.36878922860491714,510750.0,-12628.703819050002,-79231.82352571977,-0.01659048450264129,0.5,0.4620625,-616.2694529252785
